Function,InitDistanceToFlag,BotType,ShotsTaken,Put,DistanceAfterFirstShot,FinalDistance,CalculationTimeAveragePerShot
0.007591180315643637 * atan ( 0.008860968867844175 * y ^ 2 ) * 0.006276127789722981 * y ^ 1 - -0.002854297492888196 * x ^ 1 + 10,20.101907436888325,NewAI,10,false,2.0020747509440993,2.878740638362056,21990.0
0.007591180315643637 * atan ( 0.008860968867844175 * y ^ 2 ) * 0.006276127789722981 * y ^ 1 - -0.002854297492888196 * x ^ 1 + 10,20.101907436888325,Random,10,false,20.101907436888325,1.4000234192728855E7,6650.0
0.0027350727803218387 * cosh ( -0.0030216846470810643 * y ^ 3 ) + -0.009626264388804028 * y ^ 1 - -0.007579344650578919 * x ^ 1 + 10,11.780637053248379,BasicAI,10,false,11.438460059030758,11.381569003915091,9780.0
0.0027350727803218387 * cosh ( -0.0030216846470810643 * y ^ 3 ) + -0.009626264388804028 * y ^ 1 - -0.007579344650578919 * x ^ 1 + 10,11.780637053248379,NewAI,10,false,11.209635411509291,11.313134478753707,22000.0
0.0027350727803218387 * cosh ( -0.0030216846470810643 * y ^ 3 ) + -0.009626264388804028 * y ^ 1 - -0.007579344650578919 * x ^ 1 + 10,11.780637053248379,Random,10,false,NaN,NaN,8210.0
0.003866024720534682 * cosh ( -0.005429095949831961 * x ^ 2 ^ 2 + -0.004742555287114014 * x ^ 2 ) + 10,7.527107188471302,BasicAI,10,false,NaN,NaN,12480.0
0.003866024720534682 * cosh ( -0.005429095949831961 * x ^ 2 ^ 2 + -0.004742555287114014 * x ^ 2 ) + 10,7.527107188471302,NewAI,10,false,NaN,NaN,39790.0
0.003866024720534682 * cosh ( -0.005429095949831961 * x ^ 2 ^ 2 + -0.004742555287114014 * x ^ 2 ) + 10,7.527107188471302,Random,10,false,NaN,NaN,7750.0
0.007125387468662201 * y ^ 2 - 0.0027861276561603043 * log10 ( -0.003919250111970041 * x ^ 2 ) - 0.0024769872114008373 * x ^ 3 * 0.006079363459051304 * x ^ 1 + 10,4.6499218387331345,BasicAI,10,false,4.6499218387331345,4.6499218387331345,14790.0
0.007125387468662201 * y ^ 2 - 0.0027861276561603043 * log10 ( -0.003919250111970041 * x ^ 2 ) - 0.0024769872114008373 * x ^ 3 * 0.006079363459051304 * x ^ 1 + 10,4.6499218387331345,NewAI,10,false,4.6499218387331345,4.6499218387331345,21510.0
0.007125387468662201 * y ^ 2 - 0.0027861276561603043 * log10 ( -0.003919250111970041 * x ^ 2 ) - 0.0024769872114008373 * x ^ 3 * 0.006079363459051304 * x ^ 1 + 10,4.6499218387331345,Random,10,false,4.6499218387331345,4.6499218387331345,1620.0
-0.009294905933314545 * x ^ 1 * 0.005186972156198402 * abs ( 0.00912519744028602 * x ^ 1 ) ^ 2 + -0.003657846624334382 * y ^ 3 + 10,6.500856148808718,BasicAI,10,false,6.500856148808718,6.500856148808718,5950.0
-0.009294905933314545 * x ^ 1 * 0.005186972156198402 * abs ( 0.00912519744028602 * x ^ 1 ) ^ 2 + -0.003657846624334382 * y ^ 3 + 10,6.500856148808718,NewAI,10,false,6.500856148808718,6.500856148808718,15970.0
-0.009294905933314545 * x ^ 1 * 0.005186972156198402 * abs ( 0.00912519744028602 * x ^ 1 ) ^ 2 + -0.003657846624334382 * y ^ 3 + 10,6.500856148808718,Random,10,false,6.500856148808718,6.500856148808718,1180.0
-0.001423074901800434 * x ^ 4 * -8.291237803761775E-4 * x ^ 1 - 0.005429609762751118 * log10 ( 0.001459601540728417 * y ^ 1 ) + 10,17.659132924922787,BasicAI,10,false,6.526403166936827,4.818222442670991,7340.0
-0.001423074901800434 * x ^ 4 * -8.291237803761775E-4 * x ^ 1 - 0.005429609762751118 * log10 ( 0.001459601540728417 * y ^ 1 ) + 10,17.659132924922787,NewAI,10,false,4.7471306335358445,4.78389370406818,22660.0
-0.001423074901800434 * x ^ 4 * -8.291237803761775E-4 * x ^ 1 - 0.005429609762751118 * log10 ( 0.001459601540728417 * y ^ 1 ) + 10,17.659132924922787,Random,10,false,17.659132924922787,17.659132924922787,1350.0
-0.007543658158769947 * y ^ 4 + 0.005774941851314597 * tanh ( 0.004530851729381743 * x ^ 3 + 0.007644885122909994 * x ^ 1 ) + 10,12.107232988103029,BasicAI,10,false,12.107232988103029,12.107232988103029,3090.0
-0.007543658158769947 * y ^ 4 + 0.005774941851314597 * tanh ( 0.004530851729381743 * x ^ 3 + 0.007644885122909994 * x ^ 1 ) + 10,12.107232988103029,NewAI,10,false,12.107232988103029,12.107232988103029,13840.0
-0.007543658158769947 * y ^ 4 + 0.005774941851314597 * tanh ( 0.004530851729381743 * x ^ 3 + 0.007644885122909994 * x ^ 1 ) + 10,12.107232988103029,Random,10,false,12.107232988103029,12.107232988103029,1880.0
0.004457887453215612 * y ^ 1 * 0.008512864832637633 * cosh ( -0.004256597325725322 * y ^ 2 ) - -0.006809907701649013 * y ^ 4 + 10,7.187137469383734,BasicAI,10,false,7.187137469383734,7.187137469383734,3790.0
0.004457887453215612 * y ^ 1 * 0.008512864832637633 * cosh ( -0.004256597325725322 * y ^ 2 ) - -0.006809907701649013 * y ^ 4 + 10,7.187137469383734,NewAI,10,false,7.187137469383734,7.187137469383734,10460.0
0.004457887453215612 * y ^ 1 * 0.008512864832637633 * cosh ( -0.004256597325725322 * y ^ 2 ) - -0.006809907701649013 * y ^ 4 + 10,7.187137469383734,Random,10,false,7.187137469383734,7.187137469383734,1040.0
0.0029004591439841477 * log10 ( -0.002691177390466214 * y ^ 3 - -3.0280074320820916E-5 * y ^ 1 ) + 10,4.341114670703655,BasicAI,2,true,0.4826132412392882,0.0069117937251429885,2550.0
0.0029004591439841477 * log10 ( -0.002691177390466214 * y ^ 3 - -3.0280074320820916E-5 * y ^ 1 ) + 10,4.341114670703655,NewAI,2,true,0.16073662917857173,0.005889292550243985,8750.0
0.0029004591439841477 * log10 ( -0.002691177390466214 * y ^ 3 - -3.0280074320820916E-5 * y ^ 1 ) + 10,4.341114670703655,Random,10,false,2.2784453534796774E7,7.15240436967197E7,9810.0
0.003886935007774892 * cos ( -0.005059683225621532 * y ^ 3 ) * 0.005102677500607626 * x ^ 1 - -0.007860794560865332 * x ^ 1 + 10,3.9810813004229324,BasicAI,10,false,7.03504912706395,10.09341166169206,8600.0
